evnt_key,occur_date,law_desc,law_code,precinct,latitude,longitude
"261444114","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","090","40.7065483947783","-73.9504006335643"
"261444504","2023-01-05T00:00:00.000","PUBLIC URINATION","16-118(6)","018","40.764655","-73.993666"
"261444505","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","020","40.783489","-73.978076"
"261467446","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","020","40.7842519786623","-73.9748976664227"
"261502100","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","044","40.828648","-73.92323"
"261504057","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","109","40.7623158004241","-73.8274480018593"
"261508413","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","040","40.8103518634571","-73.924942325642"
"261508417","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","076","40.6836512406856","-74.0003043120176"
"261508419","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","076","40.6836512406856","-74.0003043120176"
"261508785","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750787","-73.862173"
"261508794","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.8009303727402","-73.9410982410066"
"261510019","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","073","40.664231","-73.908423"
"261515741","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.752387","-73.867736"
"261515743","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261515745","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.750796","-73.862669"
"261515746","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261515751","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","075","40.6713598203364","-73.8818110231735"
"261516202","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","079","40.680341","-73.948644"
"261516206","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751967","-73.863772"
"261516212","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","110","40.7434812638841","-73.8740035373971"
"261516490","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","020","40.7842519786623","-73.9748976664227"
"261516492","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.751184","-73.862377"
"261516494","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","001","40.726307","-74.001973"
"261516496","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","007","40.721853","-73.987456"
"261516497","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.749278","-73.878538"
"261516498","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","115","40.7565675846374","-73.8759315341335"
"261516499","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","014","40.759759","-73.989811"
"261519200","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","020","40.7842519786623","-73.9748976664227"
"261519812","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","104","40.7044350296655","-73.8937807141634"
"261534660","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","026","40.8148034786258","-73.95628448405"
"261534661","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","026","40.8148034786258","-73.95628448405"
"261534662","2023-01-06T00:00:00.000","PUBLIC URINATION","16-118(6)","026","40.81386","-73.956684"
"261541626","2023-01-07T00:00:00.000","PUBLIC URINATION","16-118(6)","025","40.804708","-73.936127"
"261543326","2023-01-07T00:00:00.000","UNLAWFUL URINATION/DEFECATION IN PARK","1-04(K)","022","40.7824518600123","-73.9658782689495"
