prop_id,lon,lat,register_matches,register_id,register_name,listed_status,nearest_alternative_m,alternatives_within400m
B066,-74.032,40.6392923076923,1,156,Owl's Head Park,Operational,661.903110653379,0
BT15,-74.0192,40.65336,1,304,Bush Terminal Park,Operational,744.949409294557,0
B210J,-74.01212,40.64938,1,218,Pena Herrera Playground,Operational,404.920454748523,0
X182,-73.91696,40.80432,1,95,Millbrook Playground,Operational,547.659344314086,0
M108Q,-73.95884,40.7594,1,380,Twenty-Four Sycamores Park,Not Operational,101.845226625488,1
Q337,-73.8395,40.6902428571429,1,552,Maurice A FitzGerald Playground,Operational,933.269502023272,0
M010-ZN26,-73.96158,40.78098,2,,,,,
B169-ZN04B,-73.9759,40.5734076923077,1,205,Coney Island Beach Zone 4b,Operational,338.321963870924,1
B210A,-74.02356,40.63978,1,217,John Allen Payne Playground,Operational,598.226905473316,0
M088,-73.98139,40.7268233333334,2,,,,,
B395,-73.9335,40.70214,1,300,Green Central Knoll,Operational,468.893571742931,0
B286,-73.9459285714286,40.7007,1,262,Bartlett Playground,Operational,457.190539461342,0
Q086,-73.8171636363636,40.7759545454545,1,483,Leonardo Ingravallo Playground,Operational,943.440738698727,0
X004-03,-73.87374,40.82714,1,10,Parque De Los Ninos,Operational,335.612929935035,1
X131,-73.9250428571429,40.8078142857143,1,68,Lozada Playground,Operational,423.852123955085,0
X124,-73.86914,40.82902,1,65,Watson Gleason Playground,Operational,437.65420092332,0
X161,-73.8654428571429,40.8746571428571,1,80,Gun Hill Playground,Operational,511.948558307008,0
X169,-73.86174,40.88048,1,86,Agnes Haywood Playground,Operational,615.905941575273,0
B271,-73.9140142857143,40.6492285714286,1,257,Railroad Playground,Operational,725.001242576254,0
B234,-73.93136,40.6479,1,235,Tilden Playground,Operational,117.123944380689,1
Q008-ZN01,-73.7421857142857,40.6621571428571,1,447,Brookville Park Playground,Operational,309.5978941589,1
