type;statut;adresse;arrondissement;horaire;acces_pmr;relais_bebe;url_fiche_equipement;geo_shape;geo_point_2d
WC;En service;2 place des fetes;75019;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/jardin-du-regard-de-la-lanterne-2677;"{""coordinates"": [2.3931583796208193, 48.87669393738172], ""type"": ""Point""}";48.87669393738172, 2.3931583796208193
Sanisette;En service;2 rue max ernst;75020;08h00 - 20h30;Oui;Non;;"{""coordinates"": [2.387733999898357, 48.86597700014329], ""type"": ""Point""}";48.86597700014329, 2.387733999898357
Sanisette;En service;4 rue fernand leger;75020;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.389195000186024, 48.86379599961598], ""type"": ""Point""}";48.86379599961598, 2.389195000186024
WC;En service;100 voie georges pompidou;75004;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3545796777169627, 48.854278089074455], ""type"": ""Point""}";48.854278089074455, 2.3545796777169627
Urinoir;En service;10bv quai d'orsay;75007;10h00 - 22h00;Oui;Non;;"{""coordinates"": [2.309290123883407, 48.862950773927956], ""type"": ""Point""}";48.862950773927956, 2.309290123883407
WC;En service;1 rue de babylone;75007;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-boucicaut-2462;"{""coordinates"": [2.3256456465969055, 48.85111943873878], ""type"": ""Point""}";48.85111943873878, 2.3256456465969055
Sanisette;En service;53 qu de valmy;75010;24/24h;Oui;Non;;"{""coordinates"": [2.3658410001675967, 48.870289999998704], ""type"": ""Point""}";48.870289999998704, 2.3658410001675967
Sanisette;En service;82 qu de jemmapes;75010;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.3649209994630906, 48.87221299997781], ""type"": ""Point""}";48.87221299997781, 2.3649209994630906
Sanisette;En service;180 qu de valmy;75010;00h00 - 01h00;Oui;Non;;"{""coordinates"": [2.36732200062348, 48.88017200006998], ""type"": ""Point""}";48.88017200006998, 2.36732200062348
Sanisette;En service;54 bd richard lenoir;75011;07h00 - 19h30;Oui;Non;;"{""coordinates"": [2.372018999818233, 48.859369999830044], ""type"": ""Point""}";48.859369999830044, 2.372018999818233
Sanisette;En service;6 rue ernest lavisse;75012;08h00 - 19h30;Oui;Non;;"{""coordinates"": [2.4099140000081043, 48.8419809997397], ""type"": ""Point""}";48.8419809997397, 2.4099140000081043
WC;En service;2 rue joseph kessel;75012;Horaires du parc;Oui;Oui;https://www.paris.fr/lieux/parc-de-bercy-grandes-pelouses-5;"{""coordinates"": [2.382471395340474, 48.833983191521675], ""type"": ""Point""}";48.833983191521675, 2.382471395340474
Sanisette;En service;6 rue martin bernard;75013;24/24h;Oui;Non;;"{""coordinates"": [2.3512849996060785, 48.826888000110166], ""type"": ""Point""}";48.826888000110166, 2.3512849996060785
Sanisette;En service;3 bd de l'hopital;75013;24/24h;Oui;Non;;"{""coordinates"": [2.3643509996401595, 48.84309000031842], ""type"": ""Point""}";48.84309000031842, 2.3643509996401595
Sanisette;En service;199 av du maine;75014;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.326281999864547, 48.829586999622435], ""type"": ""Point""}";48.829586999622435, 2.326281999864547
WC;En service;4 place violet;75015;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/square-violet-2531;"{""coordinates"": [2.2891995674457033, 48.84429229095396], ""type"": ""Point""}";48.84429229095396, 2.2891995674457033
Sanisette;En service;86 rue de la federation;75015;24/24h;Oui;Non;;"{""coordinates"": [2.298003000411582, 48.85285199998405], ""type"": ""Point""}";48.85285199998405, 2.298003000411582
Sanisette;En service;202 rue de la convention;75015;24/24h;Oui;Non;;"{""coordinates"": [2.2968000000475284, 48.83716199962859], ""type"": ""Point""}";48.83716199962859, 2.2968000000475284
WC;En service;93 avenue de l' hippodrome;75016;Horaires du parc;Oui;Non;https://www.paris.fr/lieux/parc-de-bagatelle-1808;"{""coordinates"": [2.248019574417668, 48.86883301419714], ""type"": ""Point""}";48.86883301419714, 2.248019574417668
Sanisette;En service;64 av de la grande armee;75017;06h00 - 22h00;Oui;Non;;"{""coordinates"": [2.2859550004232956, 48.87694200019017], ""type"": ""Point""}";48.87694200019017, 2.2859550004232956
