ntaname,type,lon,lat,residents,subway,jobs,dist_2pm_m,dist_9pm_m,poverty,borough,demand_pct,gap_type,n_broken,n_day_only,n_day_only_park,broken_names,day_names,first_action,order,stable_weights,stable_settings
West Farms,park,-73.87803,40.84078,10561,3128901,1456,272,1441,0.489,Bronx,75,evening-only,0,2,2,"",River Park; Vidalia Park,Keep a nearby park restroom open later,92,0.99,0.5
Yankee Stadium-Macombs Dam Park,park,-73.92429,40.83137,18557,6323559,2853,40,1157,0.397,Bronx,75,evening-only,2,1,1,Nelson Playground; Joyce Kilmer Park,Foster Park Zone 1,Repair or reopen nearby,93,1,0.67
University Heights (North)-Fordham,park,-73.90468,40.86377,22459,2082445,4057,21,2391,0.236,Bronx,72,evening-only,0,1,1,"",Devoe Park,Keep a nearby park restroom open later,94,1,0.5
Van Cortlandt Park,park,-73.89753,40.88673,7796,2411831,2099,221,1555,0.652,Bronx,69,evening-only,0,3,2,"","Van Cortlandt Pool; Van Cortlandt Library, NYPL; Van Cortlandt Stadium",Keep a nearby park restroom open later,95,1,0.83
University Heights (South)-Morris Heights,park,-73.91181,40.85297,25509,3189989,2602,538,1469,0.288,Bronx,68,all-day,0,0,0,"","",Build a new unit,96,1,0.67
South Williamsburg,park,-73.94928,40.70306,23586,2995714,12734,357,1978,0.484,Brooklyn,74,evening-only,2,1,1,Sternberg Park; De Hostos Playground,Bartlett Playground,Repair or reopen nearby,97,0.99,0.44
Bedford-Stuyvesant (West),park,-73.94396,40.69495,21198,1268340,3773,237,2927,0.214,Brooklyn,67,evening-only,0,3,3,"",Sumner Playground; Stockton Playground; Willoughby Playground,Keep a nearby park restroom open later,98,0.99,0.44
Jamaica Hills-Briarwood,park,-73.79839,40.711,13550,1796908,4093,52,2745,0.125,Queens,71,evening-only,0,2,1,"","Captain Tilly Park; Queens Central Library, QPL",Keep a nearby park restroom open later,99,0.63,0.44
Crotona Park East,park,-73.88339,40.83133,15324,1397012,2013,270,1345,0.298,Bronx,65,evening-only,0,1,1,"",Starlight Park Zone 1,Keep a nearby park restroom open later,100,1,0.5
Flushing Meadows-Corona Park,park,-73.85155,40.7543,6422,3447109,1310,316,1019,0.325,Queens,69,evening-only,0,1,1,"",Louis Armstrong Playground,Keep a nearby park restroom open later,101,0.95,0.56
Concourse-Concourse Village,park,-73.93141,40.82327,10250,707211,3164,132,2236,0.345,Bronx,68,evening-only,1,3,2,Frederick Johnson Playground,"Mill Pond Park; Macomb's Bridge Library, NYPL; Mill Pond Playground",Repair or reopen nearby,102,1,0.44
Bedford Park,park,-73.8922,40.87591,4455,1117629,2793,82,2263,0.039,Bronx,69,evening-only,0,1,1,"",Harris Playground,Keep a nearby park restroom open later,103,0.26,0.44
Prospect Heights,plaza,-73.96468,40.68066,17385,1893810,5615,452,3298,0.131,Brooklyn,67,evening-only,0,2,2,"",Crispus Attucks Playground; James Forten Playground,Keep a nearby park restroom open later,104,0.43,0.56
Bushwick (West),park,-73.93331,40.7017,14350,2084920,4076,49,2746,0.145,Brooklyn,68,evening-only,0,2,2,"",Fermi Playground; Green Central Knoll,Keep a nearby park restroom open later,105,0.77,0.56
Brownsville,park,-73.91384,40.66251,14593,2089113,2336,80,4932,0.252,Brooklyn,66,evening-only,0,2,2,"",Betsy Head Park; Imagination Playground at Betsy Head,Keep a nearby park restroom open later,106,0.93,0.44
Brownsville,park,-73.90495,40.67196,13190,1242833,3279,312,5981,0.498,Brooklyn,67,evening-only,0,1,0,"","Brownsville Library, BPL",Extend another operator's hours,107,0.92,0.67
Hell's Kitchen,busy_street,-73.98832,40.7598,18228,68269407,109290,270,937,0.295,Manhattan,96,evening-only,0,3,2,"",Mathews-Palmer Playground; McCaffrey Playground; 825 Eighth Avenue POPS,Keep a nearby park restroom open later,108,1,1
Hamilton Heights-Sugar Hill,park,-73.95452,40.82463,24496,4974743,4150,122,2854,0.248,Manhattan,78,evening-only,1,1,1,Alexander Hamilton Playground,Riverbank Playground,Repair or reopen nearby,109,1,0.67
Greenwich Village,park,-73.9972,40.73008,23574,16364897,42338,119,938,0.058,Manhattan,82,evening-only,1,1,1,Downing Street Playground,Washington Square Park Western Half,Repair or reopen nearby,110,0.84,0.83
Upper West Side-Manhattan Valley,park,-73.97409,40.79762,22446,8784987,4006,141,581,0.097,Manhattan,71,evening-only,0,2,2,"",Dinosaur Playground; 101st St. Soccer Field,Keep a nearby park restroom open later,111,0.92,0.67
East Harlem (North),park,-73.94387,40.80436,17729,3368897,8260,83,2373,0.127,Manhattan,80,evening-only,1,1,0,Marcus Garvey Park Zone 1,"Harlem Library, NYPL",Repair or reopen nearby,112,1,0.67
Harlem (North),park,-73.93853,40.81381,20334,2693604,4988,42,2836,0.207,Manhattan,79,evening-only,0,6,4,"","Fred Samuel Playground; Abraham Lincoln Playground; Moore Playground; Howard Bennett Playground; Schomburg Center for Research in Black Culture, NYPL; Countee Cullen Library, NYPL",Keep a nearby park restroom open later,113,1,0.67
Queensbridge-Ravenswood-Dutch Kills,park,-73.93325,40.75708,10221,2602417,6632,76,2274,0.331,Queens,78,evening-only,0,2,1,"","Dutch Kills Playground; Ravenswood Library, QPL",Keep a nearby park restroom open later,114,1,0.67
Long Island City-Hunters Point,plaza,-73.94828,40.75022,4751,6443955,11832,333,1410,0.05,Queens,78,evening-only,1,0,0,Murray Playground,"",Repair or reopen nearby,115,0.6,0.67
Forest Hills,park,-73.84806,40.72593,20755,1845040,5464,371,2912,0.109,Queens,78,evening-only,0,1,1,"",Russell Sage Playground,Keep a nearby park restroom open later,116,0.92,0.67
Upper East Side-Yorkville,busy_street,-73.94922,40.7814,43095,14951045,14354,425,1675,0.11,Manhattan,81,evening-only,0,2,2,"",Stanley Isaacs Playground; Samuel Seabury Playground,Keep a nearby park restroom open later,117,1,1
Highbridge Park,park,-73.93495,40.83813,12267,6386185,7106,203,1472,0.097,Manhattan,71,evening-only,1,1,1,Adventure Playground,Audubon Playground,Repair or reopen nearby,118,1,0.67
Sunset Park (Central),park,-74.00253,40.64634,19553,0,4995,257,2784,0.213,Brooklyn,65,evening-only,0,1,1,"",Sunset Park Playground,Keep a nearby park restroom open later,119,1,0.67
Longwood,park,-73.89763,40.81919,20366,2673909,3390,74,2277,0.369,Bronx,76,evening-only,0,3,2,"","Fox Park; Bill Rainey Park; Hunts Point Library, NYPL",Keep a nearby park restroom open later,120,1,0.67
Astoria (East)-Woodside (North),park,-73.91193,40.75977,13084,1913413,2879,149,3742,0.136,Queens,76,evening-only,0,1,1,"",Astoria Heights Playground,Keep a nearby park restroom open later,121,0.91,0.67
Fordham Heights,busy_street,-73.90113,40.85566,31099,2161924,3834,297,1857,0.371,Bronx,75,evening-only,0,1,1,"",Slattery Playground,Keep a nearby park restroom open later,122,1,0.67
